id,Section,Title,N,Kimberling Centers,Year,Video1,Video2,sound,Video3
78,Harmonic Polygons,Exploring the Dynamic Geometry and Conservations of the Steiner-Soddy and Harmonic Poncelet Porims,"3,4,5,6",--,2022,https://youtu.be/1zrp1HMeUbk,,,
79,Homothetic Pair,Homothetic Poncelet Pair: Invariant-Area Evolute Polygons,5,--,2020,https://youtu.be/JCj0q7_hlA8,,T,
80,Homothetic Pair,Homothetic Poncelet Pair: Invariant-Area N=5 Evolute Polygons and the Ellipse Evolute,5,--,2020,https://youtu.be/ChsfLzKrb4o,,T,
81,Homothetic Pair,Homothetic Poncelet Pair: Zero-Area Evolute Polygons,"3,5,6,8",--,2020,https://youtu.be/3nvXYFoI5Wg,,T,
82,Homothetic Pair,Zero-Area N=3 Homothetic Evolute Polygons,3,--,2020,https://youtu.be/f80QaYs5_J4,,T,
83,Homothetic Pair,Zero area N=3 evolute polygons are segments which intersect at X(76),3,"2,76",2021,https://youtu.be/OFA_j25R8ks,,T,
84,Hyperbolic Billiard,3-Periodics in a Hyperbolic Billiard,3,--,2020,https://youtu.be/kaUdX0eGDec,,T,
85,Hyperbolic Billiard,"A triangle, its elliptic billiard, and three associated hyperbolic billiards",3,"1,6,9",2020,https://youtu.be/mkdv4401-zY,,T,
86,IMPA 33o CBM,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 01 -- Apresentação",n/a,--,2021,https://youtu.be/84sG5siQWwg,,T,
87,IMPA 33o CBM,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 03 -- Revisão Geometria dos Triângulos",n/a,--,2021,https://youtu.be/AKmvd1uCZ9o,,T,
88,IMPA 33o CBM,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 04 -- Invariantes Bilhar Elíptico N=3",n/a,--,2021,https://youtu.be/ti1rkBK62ck,,T,
89,IMPA 33o CBM,"Fenômenos Euclidianos em Famílias Ponceletianas, Aula 08 -- Famílias Concêntricas",n/a,--,2021,https://youtu.be/fMC4nmQ6OQE,,T,
90,In- and Circum-parabolas,Family of tangential triangles to N=3 bicentrics: locus of vertices and of X4,3,"1,3,4,7",2021,https://youtu.be/9thwJcfUBmM,,T,
91,In- and Circum-parabolas,Focus Locus Hocus Pocus: Circumparabolas of the Bicentric Family,3,--,2021,https://youtu.be/_7gv3Pqed6M,,T,
92,In- and Circum-parabolas,General Circle-Inscribed Poncelet Triangles and Loci of the Inparabola Vertex,3,--,2021,https://youtu.be/Y_Mh4zPtwWM,,T,
93,In- and Circum-parabolas,Loci of a family of parabola-inscribed equilaterals and their polar triangles,3,"4,40,13,15",2021,https://youtu.be/5nnPWQGp1tE,,T,
94,In- and Circum-parabolas,Loci of circumparabolas of an equilateral triangle and associated family of polar triangles,3,"4,8,55,76,99",2021,https://youtu.be/51jSJmaZ8Vk,,T,
95,In- and Circum-parabolas,More Circumparabola Loci over Poncelet Triangle: the case of the Polar triangle,3,"2,4",2021,https://youtu.be/tTTIs_zxU3U,,T,
96,In- and Circum-parabolas,"Poncelet ""homothetic"" triangle family and its family of circumparabolas",3,--,2021,https://youtu.be/DKd7kjnVVTc,,T,
97,In- and Circum-parabolas,Surprising Loci of Inparabolas over Poncelet triangles inscribed in a circle: Part I,3,3,2021,https://youtu.be/HTe3Wlqctq4,,T,
98,In- and Circum-parabolas,Surprising Loci of Inparabolas over Poncelet triangles inscribed in a circle: Part II,3,--,2021,https://youtu.be/qicI7zl7ICM,,T,
99,In- and Circum-parabolas,The amazing family of polar triangles derived from a parabola-inscribed Poncelet family,3,"1, 2, 3, 4, 26, 68, 99, 107, 110, 112, 161, 249, ...",2021,https://youtu.be/L2UpEHFQ6CY,,T,
100,Inconics & Circumconics,Circumbilliard of anticomplementary triangle,3,"1,2,5,7,11,100",2019,https://youtu.be/18RyUdh8qLk,,,
101,Inconics & Circumconics,Every triangle has a unique Circumbilliard,3,9,2019,https://youtu.be/vSCnorIJ2X8,,,
102,Inconics & Circumconics,Invariants of the Steiner Circum and Inconics,3,"2,190",2019,https://youtu.be/YQpX1eZ6O0I,,,
103,Inconics & Circumconics,Invariants of the X(1)-centered circumellipse,3,"1,3,100",2019,https://youtu.be/82gYh_3hIe4,,,
104,Inconics & Circumconics,Locus of Intersection of X(1)- and X(2)-centered circumellipses,3,"1,2,75,77,100,190",2019,https://youtu.be/PTkpvvsjqNc,,,
105,Inconics & Circumconics,Peter Moses' Points on the X(9)-centered circumellipse,3,"88, 100, 162, 190, 651, 653, 655, 658, 660, 662, 673, 771, 799, 823, 897, 1156, 1492, 1821, 2349, 2580, 2581, 3257, 4598, 4599, 4604, 4606, 4607, 8052, 20332, 23707, 24624, 27834, 32680",2019,https://youtu.be/JdcJt5PExsw,https://youtu.be/86TZzDuRNN0,,
106,Inconics & Circumconics,The Feuerbach and Excentral Hyperbolas,3,"1,4,7,8,9,11,40, 100,144,1156",2019,https://youtu.be/T5vXNsRcHZg,https://youtu.be/Pz4tUijYZCA,,
107,Inconics & Circumconics,The Jerabek Hyperbola and Circumbilliard of the Excentral Triangle,3,"1,9,40,100, 168,1156",2019,https://youtu.be/7Q1TCbW2jFM,,,
108,Inconics & Circumconics,The X(1)- and X(2)-centered circumellipses,3,"1,2,9",2019,https://youtu.be/AQ2AITmMs-g,https://youtu.be/P_Io7HsWGnQ,,
109,Inconics & Circumconics,The X(100)-centered Excentral Jerabek Hyperbola,3,"1,9,100",2019,https://youtu.be/uS0V1YjmEyY,,,
110,Inconics & Circumconics,Circumbilliards of Triangles Derived from 3-Periodics,3,"7,8,142,168",2020,https://youtu.be/Og7xLgkrLqw,,,
111,Inconics & Circumconics,Excentral MacBeath Inconic: Invariant Aspect Ratio,3,"1,3,40,1742",2020,https://youtu.be/IxrIkW5tj20,,T,
112,Inconics & Circumconics,Excentral X(3)-Centered & MacBeath Inconics: Invariant Aspect Ratio,,"1,3,9,40,1742,2951",2020,https://youtu.be/CHbrZvx1I8w,,T,
113,Inconics & Circumconics,Feuerbach and Excentral Jerabek Circumhyperbolas: Invariant Focal Length Ratio,3,"1,4,9,11,40,100,1156",2020,https://youtu.be/ewioM6-nCpY,https://youtu.be/QZN82WDTGGY,T,
114,Inconics & Circumconics,Orthic Circumbilliard & Locus of Its Mittenpunkt,3,"4,6,9",2020,https://youtu.be/5KL8st2vIb0,,,
115,Inconics & Circumconics,"The Yff Parabola, Contact Triangle & Loci of Vertex and Axis Foot",3,"4,9,101,190,3234",2020,https://youtu.be/BaQmt3hHVtw,https://youtu.be/Sm9g5lqhZbk,,
116,Inconics & Circumconics,X(3)-Centered Excentral Inconic: Invariant Aspect Ratio,3,"3,40,69,2951",2020,https://youtu.be/ojxzOS1Sjjo,,T,
117,Inversions of Pivoting Triangles,Circular isocurves of distance between Symmedian of a reference triangle and its inversive image,3,--,2021,https://youtu.be/uoAocIk8LYI,,T,
118,Inversions of Pivoting Triangles,"Inversive Image of Pivoting Triangle, Part I: Stationary Symmedian Point X(6) of Inversive",3,--,2021,https://youtu.be/mI4BcoUnb6U,,T,
